date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:04	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2233f1bd5-4e9f-5387950d6b580%22	http://mgsdemo.mgscoder.com/html5/aboutme/fonts/glyphicons-halflings-regular.eot	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/fonts/glyphicons-halflings-regular.eot	(from http://mgsdemo.mgscoder.com/html5/aboutme/css/bootstrap.min.css)
14:31:05	85578/85578	---M--	200	added ('OK')	text/javascript	etag:%2233f1b85-14e4a-54665d0c89200%22	http://mgsdemo.mgscoder.com/html5/aboutme/js/jquery-2.2.4.min.js	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/js/jquery-2.2.4.min.js	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:31:07	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2233f1bd5-4e9f-5387950d6b580%22	http://mgsdemo.mgscoder.com/html5/aboutme/fonts/glyphicons-halflings-regular.eot?	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/fonts/glyphicons-halflings-regulard41d.eot	(from http://mgsdemo.mgscoder.com/html5/aboutme/css/bootstrap.min.css)
14:31:07	35266/35266	---MC-	200	added ('OK')	text/javascript	date:Fri,%2018%20May%202018%2001:10:24%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/www.google-analytics.com/analytics.js	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:31:09	18028/18028	---M--	200	added ('OK')	font/woff2	etag:%2233f1bd9-466c-5387950d6b580%22	http://mgsdemo.mgscoder.com/html5/aboutme/fonts/glyphicons-halflings-regular.woff2	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/fonts/glyphicons-halflings-regular.woff2	(from http://mgsdemo.mgscoder.com/html5/aboutme/css/bootstrap.min.css)
14:31:09	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%2233f1bd6-1a8c2-5387950d6b580%22	http://mgsdemo.mgscoder.com/html5/aboutme/fonts/glyphicons-halflings-regular.svg	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/fonts/glyphicons-halflings-regular.svg	(from http://mgsdemo.mgscoder.com/html5/aboutme/css/bootstrap.min.css)
14:31:13	23424/23424	---M--	200	added ('OK')	font/woff	etag:%2233f1bd8-5b80-5387950d6b580%22	http://mgsdemo.mgscoder.com/html5/aboutme/fonts/glyphicons-halflings-regular.woff	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/fonts/glyphicons-halflings-regular.woff	(from http://mgsdemo.mgscoder.com/html5/aboutme/css/bootstrap.min.css)
14:31:18	45404/45404	---M--	200	added ('OK')	font/ttf	etag:%2233f1bd7-b15c-5387950d6b580%22	http://mgsdemo.mgscoder.com/html5/aboutme/fonts/glyphicons-halflings-regular.ttf	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/fonts/glyphicons-halflings-regular.ttf	(from http://mgsdemo.mgscoder.com/html5/aboutme/css/bootstrap.min.css)
14:31:33	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2233f1bd3-12d68-5444495213680%22	http://mgsdemo.mgscoder.com/html5/aboutme/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/fonts/fontawesome-webfont3e6e.woff2	(from http://mgsdemo.mgscoder.com/html5/aboutme/css/font-awesome.min.css)
14:31:37	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2233f1bcf-2876e-5444495213680%22	http://mgsdemo.mgscoder.com/html5/aboutme/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/fonts/fontawesome-webfont3e6e.eot	(from http://mgsdemo.mgscoder.com/html5/aboutme/css/font-awesome.min.css)
14:31:39	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2233f1bcf-2876e-5444495213680%22	http://mgsdemo.mgscoder.com/html5/aboutme/fonts/fontawesome-webfont.eot?	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/fonts/fontawesome-webfontd41d.eot	(from http://mgsdemo.mgscoder.com/html5/aboutme/css/font-awesome.min.css)
